,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
134,Garland,Arkansas,93551,22.3,25.0,76.0,16.0,15.4,6.7,8.0,10.700000000000003,15.1,33.3
136,Greene,Arkansas,39401,29.5,31.7,82.5,15.4,18.7,6.4,9.9,2.200000000000003,11.8,34.8
138,Hot Spring,Arkansas,31264,28.1,32.2,79.4,15.0,18.2,6.5,9.3,12.099999999999994,13.8,35.5
140,Independence,Arkansas,34737,26.9,30.8,78.8,14.9,16.4,6.5,7.2,4.5,13.9,31.6
143,Jefferson,Arkansas,81700,27.4,29.1,81.8,20.9,16.2,6.3,9.8,53.8,16.5,34.0
151,Lonoke,Arkansas,60658,23.2,27.8,81.5,10.8,14.4,6.3,6.3,8.5,11.8,21.1
153,Marion,Arkansas,16735,23.1,30.3,76.4,17.1,17.6,6.8,8.3,2.299999999999997,17.4,26.1
154,Miller,Arkansas,43162,31.0,34.0,80.5,17.8,17.0,6.3,9.7,25.5,16.3,27.5
155,Mississippi,Arkansas,47911,29.3,42.5,81.6,22.3,21.9,6.0,7.0,36.1,21.2,33.0
160,Ouachita,Arkansas,27102,27.6,33.4,80.7,18.6,17.8,6.4,6.6,41.4,15.9,37.0
165,Polk,Arkansas,20176,24.8,30.2,74.5,19.1,18.5,6.4,7.9,3.5,21.8,32.4
166,Pope,Arkansas,56580,28.4,23.2,81.2,16.5,14.3,6.3,6.5,5.599999999999994,14.5,29.8
168,Pulaski,Arkansas,366463,22.3,23.6,76.1,15.1,10.3,6.3,6.7,37.5,14.2,28.9
171,Saline,Arkansas,91188,24.2,23.7,77.9,9.4,12.0,6.5,7.5,5.200000000000003,8.7,24.1
174,Sebastian,Arkansas,118750,26.4,28.0,75.8,15.4,15.4,6.2,7.1,14.200000000000003,15.6,32.1
175,Sevier,Arkansas,16456,25.1,42.4,79.1,17.8,22.0,6.0,8.2,7.599999999999994,22.4,19.3
178,Union,Arkansas,44186,27.0,30.0,80.3,17.7,17.1,6.4,9.1,34.7,14.7,28.4
180,Washington,Arkansas,180357,18.6,21.9,77.6,13.8,12.4,6.2,5.5,8.799999999999997,14.6,24.6
181,White,Arkansas,71332,24.1,30.2,80.5,15.5,17.3,6.4,8.7,6.200000000000003,14.5,25.4
183,Yell,Arkansas,21391,25.5,31.6,81.0,15.6,23.6,6.3,8.9,4.599999999999994,20.5,21.0
184,Alameda,California,1448905,18.4,20.7,69.3,10.7,11.7,5.2,5.3,43.1,13.9,21.4
187,Butte,California,214185,23.7,25.8,78.8,15.8,11.1,5.3,4.3,10.799999999999997,17.3,26.7
190,Contra Costa,California,1017787,21.6,21.0,72.8,7.5,8.6,5.1,5.4,27.299999999999997,11.7,23.7
192,El Dorado,California,176841,24.0,14.2,67.8,7.5,7.4,5.3,4.8,7.5,12.2,20.4
193,Fresno,California,877584,27.7,25.8,74.3,20.6,18.8,4.8,7.4,18.599999999999994,23.1,25.1
198,Kern,California,756825,26.5,30.4,76.3,18.2,18.4,4.8,9.0,14.200000000000003,20.1,27.5
202,Los Angeles,California,9935475,21.3,27.3,71.6,17.7,18.8,5.0,6.7,25.900000000000006,21.8,24.2
204,Marin,California,246960,9.9,8.3,66.0,7.3,6.4,5.5,2.8,11.299999999999997,9.5,23.0
210,Monterey,California,412104,24.4,30.4,72.2,13.7,19.2,4.9,4.7,14.5,19.4,20.7
213,Orange,California,2988072,17.7,18.5,74.3,10.6,13.1,5.0,4.2,21.099999999999994,17.0,20.0
214,Placer,California,317028,17.3,11.3,68.6,5.9,6.5,5.3,5.7,9.799999999999997,9.8,21.1
216,Riverside,California,1946419,23.4,28.0,72.2,12.3,15.3,4.9,6.8,15.5,16.5,24.9
217,Sacramento,California,1363482,20.8,18.4,73.3,13.7,10.6,5.0,6.4,30.0,14.5,25.3
219,San Bernardino,California,1963535,25.7,28.6,77.2,16.0,15.1,4.8,7.8,19.400000000000006,17.9,26.4
220,San Diego,California,2933462,20.3,22.5,73.2,11.6,11.0,5.1,5.6,20.200000000000003,16.7,24.7
