,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
1491,Buchanan,Missouri,84904,25.2,28.9,79.9,12.3,12.266795439555263,6.606284745123904,7.6,6.799999999999997,11.456468482050315,26.7
1492,Butler,Missouri,41338,36.5,35.6,78.1,17.0,20.150950699114617,6.6476365571629,13.4,7.400000000000006,16.27074362571968,42.5
1494,Callaway,Missouri,42541,26.8,29.7,82.0,9.8,13.659763522249124,6.591288404127782,7.2,7.099999999999994,9.541383606403235,17.5
1495,Camden,Missouri,39432,24.4,26.8,75.3,11.7,12.454351795496043,6.976567255021303,6.6,2.0,12.98184215865287,24.9
1496,Cape Girardeau,Missouri,71161,24.5,25.7,80.9,11.2,12.230013631061958,6.6721940388696055,8.1,8.400000000000006,8.352889925661527,26.9
1499,Cass,Missouri,94232,28.9,29.8,80.9,7.4,8.712539264793277,6.448976992953562,6.0,5.400000000000006,8.18087273962136,30.2
1502,Christian,Missouri,67266,21.0,23.5,76.3,9.3,9.292956322659293,6.505515416406506,4.0,2.5,9.796925638509798,19.6
1504,Clay,Missouri,202078,24.2,22.3,78.9,6.6,7.487702768238007,6.486604182543375,4.9,8.099999999999994,8.59024733023882,21.7
1506,Cole,Missouri,72757,20.9,19.1,80.2,9.0,9.860219635224102,6.631664307214426,5.9,12.700000000000003,6.678395205959564,24.6
1516,Franklin,Missouri,99090,25.6,26.7,72.7,8.4,14.764355636290242,6.496114643253607,5.6,2.200000000000003,7.284287011807447,24.3
1519,Greene,Missouri,250784,22.3,22.5,80.2,12.5,9.980301773637871,6.726904427714686,7.0,6.099999999999994,10.797339543192548,26.3
1526,Howell,Missouri,38400,21.2,31.0,82.5,17.1,17.893229166666664,6.557291666666666,7.5,3.200000000000003,17.924479166666664,34.5
1528,Jackson,Missouri,662959,24.6,24.7,78.9,12.3,10.978205288713179,6.448664246205271,7.8,27.400000000000006,12.74754547415451,25.8
1529,Jasper,Missouri,110624,25.2,29.9,85.0,14.9,13.224978304888632,6.432600520682673,8.1,5.900000000000006,14.20125831645936,24.1
1530,Jefferson,Missouri,213669,19.9,26.1,78.7,8.0,13.555078181673524,6.479648428176292,5.6,2.700000000000003,9.122521282918909,24.0
1531,Johnson,Missouri,50784,23.8,24.6,82.6,11.5,8.110822306238186,6.474480151228732,7.0,8.299999999999997,12.307025834908632,24.8
1533,Laclede,Missouri,34492,25.8,37.9,84.4,14.3,18.047663226255363,6.531949437550737,7.6,2.799999999999997,13.48138698828714,24.1
1541,Macon,Missouri,15600,25.8,27.5,75.6,12.1,15.371794871794872,6.67948717948718,8.0,3.9000000000000057,12.634615384615385,25.5
1544,Marion,Missouri,28375,24.9,29.5,80.1,12.6,13.589427312775332,6.488105726872247,8.0,6.799999999999997,10.040528634361232,30.8
1553,Newton,Missouri,55554,26.5,25.0,81.4,12.2,13.442776397739136,6.528782805918566,6.1,6.0,14.027792778197789,21.4
1554,Nodaway,Missouri,21710,25.9,25.6,83.0,11.5,7.314601566098572,6.904652233993551,6.8,3.700000000000003,7.982496545370797,35.0
1560,Pettis,Missouri,40121,20.3,24.4,85.3,12.8,14.369033673138757,6.460457117220408,4.5,5.799999999999997,14.456269783903691,22.8
1561,Phelps,Missouri,42125,22.0,29.3,74.6,14.1,13.227299703264094,6.675370919881305,7.4,6.0,13.36973293768546,31.6
1563,Platte,Missouri,82085,24.5,22.2,78.9,5.5,5.532070414813912,6.6029116160077965,5.6,8.099999999999994,7.72248279222757,17.7
1568,Randolph,Missouri,25336,34.3,31.4,86.1,13.5,15.401010419955794,6.611146195137355,9.9,8.5,11.67113988001263,33.9
1572,St. Charles,Missouri,329940,20.9,19.5,75.7,4.9,6.994605079711462,6.3990422501060795,5.7,6.5,6.647572285870158,23.2
1575,St. Francois,Missouri,61661,30.9,29.9,80.8,14.3,18.952011806490326,6.775757772335836,10.7,4.799999999999997,10.463664228604792,38.9
1576,St. Louis,Missouri,1004666,20.6,19.6,79.2,8.6,8.096123487805897,6.599009023894508,5.3,25.700000000000003,8.121305986268073,26.1
1577,Saline,Missouri,23075,26.3,31.0,83.1,13.3,16.923076923076923,6.608884073672806,11.4,7.5,12.918743228602384,38.6
1580,Scott,Missouri,41143,27.8,37.2,83.8,14.6,17.8353547383516,6.4190749337675905,6.8,12.799999999999997,13.637799868750456,26.4
1583,Stoddard,Missouri,29714,29.4,36.0,83.2,14.9,23.043010028942586,6.730833950326446,7.8,2.5,13.85878710372215,29.8
1595,St. Louis City,Missouri,344362,29.7,28.5,78.8,21.3,18.601936334438758,6.435379048791678,10.2,54.4,18.475615776421325,30.3
1596,Beaverhead,Montana,8773,20.5,20.7,75.7,15.7,6.998746152969337,7.295109996580418,7.9,2.5999999999999943,17.26889319503021,17.8
1597,Big Horn,Montana,13149,32.6,29.9,80.4,24.0,13.499125408776333,6.357897939006768,9.4,64.2,25.887900220549092,24.7
1598,Blaine,Montana,6629,26.5,27.5,80.5,22.2,12.837532056117062,6.637501885653944,8.0,49.6,25.22250716548499,28.6
1600,Carbon,Montana,9902,17.2,21.2,75.4,11.2,8.58412441930923,7.503534639466775,3.6,1.5999999999999943,15.693799232478286,26.1
1602,Cascade,Montana,79569,21.9,20.9,77.8,13.9,8.71319232364363,7.1208636529301605,6.5,8.900000000000006,14.738151792783622,29.6
1604,Custer,Montana,11267,18.9,24.9,74.3,13.9,10.366557202449632,7.242389278423715,5.8,2.5999999999999943,15.89597940889323,26.1
1606,Dawson,Montana,8688,22.8,26.9,80.4,12.7,12.039594843462247,7.447053406998158,7.2,2.0,13.374769797421731,29.0
1607,Deer Lodge,Montana,8948,24.8,27.9,76.8,14.8,11.019222172552526,7.56593652212785,6.9,4.5,15.29950827000447,33.6
1609,Fergus,Montana,11551,24.0,23.5,74.1,14.9,9.774045537182928,7.43658557700632,6.5,3.200000000000003,20.006925807289413,22.5
1610,Flathead,Montana,83172,14.0,16.3,71.7,12.6,8.698840956090992,7.253643052950512,5.1,3.299999999999997,13.348242196893183,21.3
1611,Gallatin,Montana,78210,11.5,13.5,77.3,11.5,4.288454161871883,7.339214934151643,2.9,3.4000000000000057,11.602096918552615,15.2
1613,Glacier,Montana,13552,29.9,30.4,79.1,25.6,12.263872491145218,6.478748524203069,10.2,65.5,26.402007083825264,27.2
1616,Hill,Montana,16304,24.3,22.5,76.7,18.1,8.126840039254171,6.912414131501472,6.2,21.599999999999994,19.246810598626105,25.7
1617,Jefferson,Montana,11170,15.3,18.1,80.1,9.2,6.723366159355416,7.332139659803044,5.4,3.299999999999997,11.154879140555058,21.8
1619,Lake,Montana,28297,20.8,22.3,75.8,19.1,10.37212425345443,7.050217337526947,5.6,26.900000000000006,19.737074601547867,24.3
1620,Lewis and Clark,Montana,58449,20.5,19.5,78.6,11.7,5.897449058153262,7.274718130335849,5.7,4.400000000000006,10.835086998922137,21.1
1622,Lincoln,Montana,19193,22.3,24.2,79.7,18.3,14.031157192726514,7.408951180117751,6.8,3.799999999999997,17.537643932683793,29.0
1624,Madison,Montana,7274,14.5,20.6,69.1,11.6,7.533681605718999,7.64366235908716,3.2,1.7000000000000028,17.61066813307671,21.0
1627,Missoula,Montana,100086,15.0,12.8,75.6,14.9,5.938892552404932,7.367663809124153,3.9,5.599999999999994,14.056911056491417,20.0
1628,Musselshell,Montana,4497,16.1,26.9,80.7,17.6,12.47498332221481,7.427173671336447,3.2,2.4000000000000057,21.16966866800089,17.5
1629,Park,Montana,15968,13.7,20.9,74.8,12.5,8.986723446893787,7.458667334669339,3.2,2.700000000000003,15.299348697394791,20.3
1636,Ravalli,Montana,39940,17.3,17.7,75.3,14.0,8.790686029043565,7.305958938407612,6.2,2.5999999999999943,16.347020530796193,27.2
1637,Richland,Montana,9096,21.6,27.2,76.4,13.1,11.367634124890062,7.27792436235708,7.9,2.5,16.204925241864558,29.1
1638,Roosevelt,Montana,10524,30.9,32.3,73.7,26.2,11.193462561763589,6.394906879513493,13.8,61.8,26.577347016343595,28.8
